frame,w,x,y,z,euler_x,euler_y,euler_z
4580,0.8990409,-0.4127773,0.02449368,0.02720398,310.649,1.937463,2.576159
4581,0.9035247,-0.4028185,0.02493916,0.0275376,311.9121,2.003039,2.597713
4582,0.908851,-0.3907745,0.02233771,0.02803928,313.4407,1.589298,2.850357
4583,0.9115048,-0.3846815,0.02272907,0.02573298,314.2104,1.814495,2.46788
4584,0.9144953,-0.3773127,0.02509704,0.02652026,315.1265,2.136373,2.439974
4585,0.9158574,-0.373837,0.02720335,0.02666463,315.5555,2.448688,2.334795
4586,0.9182379,-0.367838,0.02778819,0.02760584,316.3004,2.485308,2.447345
4587,0.9210002,-0.3609992,0.02507572,0.0284487,317.1573,2.045654,2.73585
4588,0.9227673,-0.3565278,0.02477151,0.02783082,317.7149,2.045016,2.664131
4589,0.9254632,-0.3495283,0.02457036,0.02727679,318.584,2.059391,2.597875
4590,0.9300799,-0.3372459,0.02304559,0.02617856,320.1063,1.921515,2.527096
4591,0.9340854,-0.326104,0.02296489,0.02475895,321.4783,1.999706,2.337846
4592,0.9376118,-0.3158499,0.02311743,0.02425739,322.7336,2.059427,2.269522
4593,0.9387388,-0.3126695,0.02131269,0.02351507,323.1277,1.850011,2.253117
4594,0.9417075,-0.3034176,0.02342414,0.02399477,324.2485,2.129757,2.232201
4595,0.9408617,-0.3059347,0.02395691,0.02467747,323.9395,2.168808,2.298854
4596,0.9426386,-0.3003337,0.0246856,0.02495524,324.618,2.262965,2.311071
4597,0.9451872,-0.2920378,0.02562851,0.02604234,325.6193,2.35518,2.427785
4598,0.9490302,-0.2795222,0.02444169,0.02473327,327.1384,2.267188,2.317094
4599,0.9526377,-0.2670061,0.02382076,0.02492832,328.6467,2.196336,2.381444
4600,0.9556895,-0.2558459,0.02347104,0.02548064,329.9855,2.149234,2.478282
4601,0.9580446,-0.2470835,0.02346482,0.02344148,331.0387,2.230837,2.227074
